fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 3, 0, 99, 898, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 28, 0, 102, 895, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 58, 0, 102, 892, 6, 185,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 2, 0, 100, 898, 2, 56,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 17,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 1, 0, 100, 899, 1, 11,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 6, 0, 100, 895, 5, 81,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.1, 0.97, 5, 1000, 50, 0, 100, 898, 2, 127,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 3, 0, 198, 799, 3, 38,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 1, 0, 200, 799, 1, 20,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 1, 0, 200, 799, 1, 16,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 28, 0, 201, 796, 3, 117,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.2, 0.97, 5, 1000, 58, 0, 201, 793, 6, 185,  5
